region,district,customers,avg_sales,median_sales,avg_orders,avg_emp,group
13,60294,148,3509.6394594594594,1256.875,18.93243243243243,8.358108108108109,Nicht-ORSY
13,60294,15,21882.709333333336,12106.49,85.0,10.0,ORSY
13,61047,95,3769.2937894736847,1097.39,19.810526315789474,3.9263157894736844,Nicht-ORSY
13,61047,11,9242.427272727273,9588.95,63.0,4.7272727272727275,ORSY
13,61652,289,2927.9947750865053,676.65,16.491349480968857,3.8996539792387543,Nicht-ORSY
13,61652,13,16786.715384615385,10566.56,91.84615384615384,5.3076923076923075,ORSY
13,61999,193,2471.6082901554405,949.69,17.77720207253886,3.1243523316062176,Nicht-ORSY
13,61999,27,11911.364814814813,7458.42,70.66666666666667,6.925925925925926,ORSY
13,62050,203,3353.546403940887,689.86,20.039408866995075,5.300492610837439,Nicht-ORSY
13,62050,10,46835.687,25502.855,247.2,16.1,ORSY
13,62998,301,2257.8167441860464,599.07,10.807308970099667,5.7574750830564785,Nicht-ORSY
13,62998,21,26034.33,15081.59,105.0,7.666666666666667,ORSY
13,63128,320,2065.90465625,522.7449999999999,11.24375,5.115625,Nicht-ORSY
13,63128,28,20461.492857142857,12444.96,74.28571428571429,9.571428571428571,ORSY
13,63129,225,3192.9149333333335,955.87,18.342222222222222,4.497777777777777,Nicht-ORSY
13,63129,22,21568.867272727275,15705.895,103.63636363636364,7.2727272727272725,ORSY
13,63313,230,3075.6382608695653,649.44,14.647826086956522,4.056521739130435,Nicht-ORSY
13,63313,17,31352.08823529412,21412.06,135.2941176470588,10.176470588235293,ORSY
13,63498,151,4222.49178807947,1118.57,18.62251655629139,2.7417218543046356,Nicht-ORSY
13,63498,28,15263.24107142857,9158.715,61.642857142857146,5.428571428571429,ORSY
13,63506,112,1712.470625,415.74,8.991071428571429,3.3392857142857144,Nicht-ORSY
13,63506,23,14799.33304347826,12501.47,53.30434782608695,5.521739130434782,ORSY
13,63512,314,3342.5253184713374,902.395,18.929936305732483,4.662420382165605,Nicht-ORSY
13,63512,34,25204.171470588233,17889.76,98.41176470588235,7.588235294117647,ORSY
13,63684,170,1708.9801176470587,401.08000000000004,9.411764705882353,3.323529411764706,Nicht-ORSY
13,63684,17,17356.195882352942,9234.92,72.23529411764706,6.0,ORSY
13,64066,104,2617.0528846153848,893.385,17.365384615384617,4.211538461538462,Nicht-ORSY
13,64066,14,33438.247142857144,18832.775,138.07142857142858,11.428571428571429,ORSY
13,64085,208,3464.612403846154,681.5699999999999,19.875,5.091346153846154,Nicht-ORSY
13,64085,21,20197.83476190476,10564.42,88.80952380952381,6.523809523809524,ORSY
13,64089,219,3258.6461187214613,698.07,16.19634703196347,3.958904109589041,Nicht-ORSY
13,64089,15,10809.294666666667,11523.07,56.2,7.533333333333333,ORSY
13,64098,223,3075.394260089686,1200.96,17.22421524663677,3.600896860986547,Nicht-ORSY
