region,district,flag_new_orsyshelf,customers,avg_sales,avg_orders,avg_emp,share_salesrep,share_branch,share_ebusiness,share_internal,share_others
13,67035,Nicht-ORSY,13,1871.823076923077,20.692307692307693,0.9230769230769231,0.0,1.0011488411289107,0.0,0.001951237965914063,-0.0031000790948246893
13,68063,Nicht-ORSY,207,2289.804106280193,15.405797101449275,5.019323671497585,0.11842207971692684,0.5960402486556039,0.24114903325335893,0.044310536644235864,7.810172987444653e-05
13,68063,ORSY,16,22630.625625,121.875,10.0,0.3955956011950181,0.3534696401557735,0.21641792819538566,0.03708357860503283,-0.002566748151210098
13,70013,Nicht-ORSY,2,1832.54,19.0,5.5,0.0,1.0,0.0,0.0,0.0
14,60295,Nicht-ORSY,160,2024.6901874999999,8.65625,3.06875,0.5059660906034175,0.31145931003918714,0.12820942085384282,0.06397341949734227,-0.009608240993789704
14,60295,ORSY,29,13191.310689655173,54.0,4.620689655172414,0.7535850253046219,0.06271887196257458,0.16438237908073228,0.01954759470601687,-0.0002338710539455811
14,61041,Nicht-ORSY,132,2663.075984848485,15.242424242424242,8.856060606060606,0.2121106360161371,0.5320488275749183,0.1626101476552718,0.09335941484085457,-0.0001290260871817813
14,61041,ORSY,18,23673.754444444447,91.83333333333333,9.166666666666666,0.26052112726260707,0.33437808889665693,0.24686784392457886,0.15958980259862773,-0.0013568626824705479
14,61460,Nicht-ORSY,194,2907.482113402062,18.329896907216494,4.201030927835052,0.2856471568177722,0.5869008220734305,0.08679973040917423,0.04082437285967474,-0.0001720821600516814
14,61460,ORSY,9,13032.41,62.0,6.222222222222222,0.3169823256774373,0.32773060075156735,0.2527144561494329,0.10257261742156253,0.0
14,61461,Nicht-ORSY,241,2798.515601659751,15.257261410788383,4.804979253112033,0.21336463599624092,0.4577413324408562,0.17082818855397652,0.15848596788776256,-0.0004201248788361849
14,61461,ORSY,23,26303.34956521739,97.56521739130434,8.26086956521739,0.37423215214419636,0.25000579356996677,0.3063486536771045,0.06993175564653165,-0.0005183550377992976
14,62040,Nicht-ORSY,141,2615.4979432624114,17.347517730496453,3.141843971631206,0.28061040923532476,0.5424958783055306,0.1352317933495295,0.050744803403311854,-0.009082884293696726
14,62040,ORSY,25,17593.0144,93.72,4.24,0.27955413978800864,0.26814083733666355,0.3994790731494841,0.05549829627213507,-0.0026723465462913302
14,62211,Nicht-ORSY,225,2480.6897777777776,13.124444444444444,2.96,0.20908838086465048,0.685496997275246,0.038948096163617864,0.0670470683226387,-0.0005805426261530028
14,62211,ORSY,12,17637.371666666666,84.58333333333333,5.75,0.1810516553619619,0.5305940565327464,0.23394165560299185,0.05517017418954389,-0.0007575416872440611
14,63007,Nicht-ORSY,194,2600.415,16.943298969072163,4.824742268041237,0.140699566495994,0.5908986520217021,0.1631287396650851,0.10647787940214819,-0.001204837584929338
14,63007,ORSY,26,26161.87923076923,116.26923076923077,7.269230769230769,0.33280101091687064,0.33021815437833085,0.2640887342503201,0.0741136110799406,-0.0012215106254621745
14,63085,Nicht-ORSY,171,2392.648128654971,15.883040935672515,3.695906432748538,0.16733774174524926,0.6206359972530003,0.1290187890873347,0.08338980346787314,-0.00038233155345732486
14,63085,ORSY,17,19180.613529411763,68.47058823529412,9.176470588235293,0.37301683560349835,0.2367001050649011,0.3233240182118075,0.07058860791465829,-0.0036295667948652373
14,63298,Nicht-ORSY,1,163.26,1.0,1.0,0.0,1.0,0.0,0.0,0.0
14,63382,Nicht-ORSY,202,1875.39,10.564356435643564,4.074257425742574,0.27848559418625585,0.5286630270887418,0.13574837757975688,0.05752376549448093,-0.0004207643492354735
14,63382,ORSY,23,15303.488260869564,64.95652173913044,5.869565217391305,0.5638042025491184,0.09976938593680713,0.21299311716612596,0.12537947659087778,-0.001946182242929277
14,63427,Nicht-ORSY,126,3570.7692857142856,19.658730158730158,4.0396825396825395,0.15396953667311056,0.6757217839155095,0.1268153948158946,0.04465887919184104,-0.001165594596355742
14,63427,ORSY,20,25565.0565,97.75,6.65,0.4781575642685138,0.3535683030654843,0.11210251754539147,0.05649070187366739,-0.0003190867530569811
14,64088,Nicht-ORSY,221,1681.563891402715,11.900452488687783,3.669683257918552,0.21528426069671233,0.556061776426501,0.14450501067006213,0.0844575910869467,-0.00030863888022219604
14,64088,ORSY,19,15256.934210526315,62.0,6.526315789473684,0.4469775669055864,0.18344331710804043,0.2835302349306044,0.0866567830968602,-0.0006079020410914363
